Modelo,Acurácia (média),Acurácia (±dp),Precisão (média),Precisão (±dp),Revocação (média),Revocação (±dp),F1-Score (média),F1-Score (±dp)
LSTM,0.9429,0.0123,0.9510,0.0114,0.9448,0.0125,0.9402,0.0134
BiLSTM+Atenção Combinado,0.9813,0.0072,0.9825,0.0074,0.9803,0.0080,0.9784,0.0088
